PI,Test #,Date,GMT,Sample #,Fuel Sample Material,Flow restrictor,Fan display,Air display,Radiometer gain   (1000   250   50   10),Total Frames Shot,Calibrated  initial O2 % by vol ,Calibrated final O2 % by vol,Initial CO2 % by vol,Final CO2 % by vol,Initial CO (ppm),Final CO (ppm)
T'ien,T5,4/10/2014,100,131,2 cm SIBAL,2,2.72   0.50   0.42,10   2   1,50,100,18.8,18.9,0.2,0.25,2,41
T'ien,T6,4/10/2014,100,132,2 cm SIBAL,2,,5  2  1   <1,50,117,18.8,18.8,0.24,0.28,39,77
T'ien,T7,7/9/2014,190,182m,4 cm spherical section,2,3.4   67,10   5  3  1   decr,250,299,17.3,17.1,0.32,0.59,49,140
T'ien,T9,6/24/2018,175,133M,2 cm SIBAL,2,pot 2.5,10,250,48,16.4,16.4,0.3,0.31,0,9
T'ien,T10,6/24/2014,175,134M,2 cm SIBAL,2,pot 1.1,5,250,43,16.4,16.5,0.31,0.33,9,14
T'ien,T11,6/27/2014,178,135m,2 cm SIBAL,2,48,5,250,109,17.1,17,0.35,0.39,1,45
T'ien,T12,6/27/2014,178,136m,2 cm SIBAL,2,pot 1.1,5,250,39,16.8,16.9,0.7,0.7,113,117
T'ien,T13,4/10/2014,100,137,2 cm SIBAL,2,,5  1,50,55,17.5,17.6,0.19,0.2,2,12
T'ien,T14,6/27/2014,178,140m,2 cm SIBAL,2,,5  3,250,119,16.9,16.9,0.7,0.72,117,152
T'ien,T15,2/14/2014,45,138,2 cm SIBAL,0,80122,9   29,50,46,18.7,18.7,0.45,0.51,72,102
T'ien,T16,4/10/2014,100,139,2 cm SIBAL,2,,5  3,50,100,17.6,17.5,0.21,0.21,17,41
T'ien,T17,6/27/2014,178,142m,2 cm SIBAL,0,,6   53,250,83,16.9,16.9,0.72,0.75,152,190
T'ien,T18,6/24/2018,175,141M,2 cm SIBAL,2,,5  2,250,49,17.4,17.4,0.36,0.38,2,22
T'ien,T19,7/9/2014,190,143m,1 cm SIBAL,2,68.5   pot 3.6,11,250,73,17.2,17.2,0.29,0.31,1,20
T'ien,T20,7/9/2014,190,144m,1 cm SIBAL,2,3.6   0.9,11   3,250,117,17.2,17.2,0.31,0.31,20,34
T'ien,T21,7/9/2014,190,145m,1 cm SIBAL,0,1.6 pot   52,11   max(47),250,151,17.2,17.2,0.31,0.32,34,45
T'ien,T22,7/9/2014,190,146m,1 cm SIBAL,2,3.4   1.7,10   5,250,38,17.1,17,0.59,0.62,140,162
T'ien,T23,7/9/2014,190,133m,2 cm Sibal   moved igniter,2,3.3   66,10,250,203,17.2,17.3,0.32,0.32,45,49
T'ien,T24,7/9/2014,190,133m,1 cm SIBAL   top side ign,2,3.3 66,10,250,130,18.2,18.2,0.51,0.53,85,107
T'ien,T25,8/4/2014,216,138m,2 cm SIBAL,1,53   45,5   2.5,250,75,20.8,20.7,0.36,0.39,-1,17
T'ien,T26,8/4/2014,216,137m,2 cm SIBAL,1,53   45,5   2.5,250,87,20.8,20.7,0.36,0.43,-1,24
T'ien,T27,8/4/2014,216,146m,1 cm SIBAL,1,53   45,5   2,250,58,20.7,20.6,0.41,0.42,-1,9
T'ien,T28a,8/4/2014,216,144m,1 cm SIBAL,1,53,5,250,19,20.7,0.9,0.41,none,-1,none
T'ien,T28b,8/4/2014,216,144m,1 cm SIBAL,1,53,5,250,27,20.7,40.4,none,0.42,none,2
T'ien,T29,8/4/2014,216,145m,1 cm SIBAL,1,53   43,5   2(?),250,60,20.7,20.5,0.41,0.44,-1,10
